"DOMAIN 1: Ease of Regulatory Clarity, Predictability & Accessibility",,Andhra Pradesh (Response),Andhra Pradesh (Score),Arunachal Pradesh (Response),Arunachal Pradesh (Score),Assam (Response),Assam (Score),Bihar (Response),Bihar (Score),Chhatisgarh (Response),Chhatisgarh (Score),Delhi (Response),Delhi (Score),Goa (Response),Goa (Score),Gujarat (Response),Gujarat (Score),Haryana (Response),Haryana (Score),Himachal Pradesh (Response),Himachal Pradesh (Score),Jammu and Kashmir (Response),Jammu and Kashmir (Score),Jharkhand (Response),Jharkhand (Score),Karnataka (Response),Karnataka (Score),Kerala (Response),Kerala (Score),Madhya Pradesh (Response),Madhya Pradesh (Score),Maharashtra (Response),Maharashtra (Score),Manipur (Response),Manipur (Score),Meghalaya (Response),Meghalaya (Score),Mizoram (Response),Mizoram (Score),Nagaland (Response),Nagaland (Score),Odisha (Response),Odisha (Score),Punjab (Response),Punjab (Score),Rajasthan (Response),Rajasthan (Score),Sikkim (Response),Sikkim (Score),Tamil Nadu (Response),Tamil Nadu (Score),Telangana (Response),Telangana (Score),Tripura (Response),Tripura (Score),Uttar Pradesh (Response),Uttar Pradesh (Score),Uttarakhand (Response),Uttarakhand (Score),West Bengal (Response),West Bengal (Score)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMAIN 5: Ease of School Lifecycle Operations,,,0.06666666667,,0.06666666667,,0.06666666667,,0.06666666667,,0.06666666667,,0.06666666667,,0.1,,0.075,,0.09166666667,,0.06666666667,,0.05,,0.06666666667,,0.06666666667,,0.06666666667,,0.06666666667,,0.05,,0.06666666667,,0.06666666667,,0.06666666667,,0.075,,0.05833333333,,0.1166666667,,0.075,,0.06666666667,,0.05833333333,,0.1166666667,,0.06666666667,,0.06666666667,,0.06666666667,,0.05
1. School Entry Requirements,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.25,,0,,0,,0,,0.25,,0,,0,,0,,0
If schools have to take permission to establish themselves (Yes/No/Maybe/Not Mentioned) ,"Yes=0, No=1, Not Mentioned=0, Maybe=0.5",Yes,0,Not mentioned ,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Existence of withdrawal of permission to establish (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. School Operation and Expansion Requirements ,,,0,,0,,0,,0,,0,,0,,0.125,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Need for Schools to get recognition from the Govt. (Yes/No/Maybe/Not Mentioned),"Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0
If schools can do dual shifts. (Yes/No/Maybe/Not Mentioned),"Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned ,0,Not Mentioned ,0,Not Mentioned ,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5,Not Mentioned,0,May be,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,No,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not allowed,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"If recognition can be withdrawn (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0
If schools have to express the need for upgrading schools (Requirement to produce letter of intent) (Yes/No/Maybe/Not Mentioned),"Yes=0, No=1, Discretion=0.5, Not Mentioned=0",Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Board Affiliation,,,0.3333333333,,0.3333333333,,0.3333333333,,0.3333333333,,0.3333333333,,0.3333333333,,0.375,,0.375,,0.4583333333,,0.3333333333,,0.25,,0.3333333333,,0.3333333333,,0.3333333333,,0.3333333333,,0.25,,0.3333333333,,0.3333333333,,0.3333333333,,0.375,,0.2916666667,,0.3333333333,,0.375,,0.3333333333,,0.2916666667,,0.3333333333,,0.3333333333,,0.3333333333,,0.3333333333,,0.25
Existence of a prescribed inspection procedure for granting affiliation (Yes/No/May/Not Mentioned),"Yes=0, No=1, Discretion=0.5, Not Mentioned=0",Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0
Eligibility to get affiliation from the board (Enrolment Rate/Not Mentioned/No. of Schools in Area/Based on infrastructures/Recognition from State Govt),"Not Mentioned=1, Enrolment Rate=, No. of Schools in Area=, Based on infrastructures=, Recognition from State Govt=

[1- (Number of Components Present÷ Maximum Number of Components)]",Not mentioned ,1,Not mentioned ,1,Not Mentioned ,1,Based on infrastructures,0.75,Not Mentioned,1,Not Mentioned,1,Based on infrastructures,0.75,Based on infrastructures,0.75,Not Mentioned,1,Based on infrastructures,0.75,"Based on infrastructure, no. of schools in the area, recognition from state government",0.25,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,"Based on infrastructure, recognition from state government, ",0.5,Not Mentioned,1,Not Mentioned,1,Recognition from State Government,0.75,Not Mentioned,1,Recognition from state govt,0.75,Recognition from state govt,0.75,Recognition,0.75,Not Mentioned,1,Recognition from state govt,0.75,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,"Based on infrastructures, Enrolment rate, ",0.5
"If there is a Criteria for granting affiliation (Yes, No, Maybe, Not Mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not mentioned ,0,Not mentioned ,0,Yes,0,Yes,0,Not mentioned ,,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Creteria for granting affiliation:

1. Building Infrastructure (sufficiency of fire equipment, separate entry and exit, separate washrooms for boys and girls, adequate classroom space, good road links, existence of playground, favourable location, adequate furniture, teacher's room availability,)
2. Teaching & Learning Infrastructure (existence of library, existence of science laboratories,)
3. Duties of Management (employee benefits, published service rules, existence of managing committee, selection committee for recruiting teachers, arrangement for medical check ups, regulated fee structure,)
4. Enrolment
5. Not Mentioned
6. No Criteria","Building Infrastructure=, Teaching & Learning Infrastructure=, Duties of Management=, Enrolment=, Not Mentioned=0, No Criteria=1 

[1- (Number of Components Present÷ Maximum Number of Components]",Not mentioned ,0,Not mentioned ,0,Not mentioned ,0,"Building Infrastructure, Teaching & Learning Infrastructure, Duties of Management",0.25,Not mentioned ,0,Not Mentioned,0,"Building Infrastructure, Teaching & Learning",0.5,"Building Infrastructure, Teaching & Learning",0.5,Duties of Management,0.75,"Building Infrastructure, Teaching & Learning Infrastructure, Duties of Management",0.25,"Building Infrastructure, Teaching & Learning Infrastructure, Duties of Management",0.25,Not Mentioned,0,Not Mentioned,0,Not Mentioned,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,"Building Infrastructure, Teaching & Learning Infrastructure, Duties of Management",0.25,"Building Infrastructure, Teaching & Learning Infrastructure, Enrolment",0.25,"Building Infrastructure, Teaching & Learning Infrastructure, Duties of Management, Enrolment",0,"Building Infrastructure, Teaching & Learning Infrastructure, Duties of Management",0.25,"Building Infrastructure, Duties of Management",0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
Any criteria conflicting with recognition norms. (Yes/No/Maybe/Not Mentioned),"Yes=0, No=1, Maybe=0.5",No,1,No ,1,No ,1,No,1,No,1,No ,1,No,1,No,1,No ,1,No ,1,No ,1,No ,1,No ,1,No ,1,No ,1,No ,1,No ,1,No ,1,No ,1,No,1,No,1,No ,1,No,1,No ,1,No ,1,No ,1,No ,1,No ,1,No ,1,No ,1
Existence of consequence for violation of affiliation norms (Yes/No/Maybe/Not Mentioned),"Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0, Not Mentioned,,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Voluntary Exit ,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
"School management disallowed to voluntarily close a school (Yes, No, Maybe, Not Mentioned)","Yes=0, No=1, Maybe=05, Not Mentioned=0",Not Mentioned ,0,Yes,0,Not Mentioned ,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Existence of penalties for shutting down schools without prior approval (Yes, No, Maybe, Not Mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned ,0,Yes,0,Not Mentioned ,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Forced Exit ,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
"If schools are shut down after withdrawal of recognition (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"If property is taken over after withdrawal of recognition (Yes, No, Maybe, Not Mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMAIN 6: Ease of Institutional Autonomy,,,0.375,,0.0725,,0.3125,,0.28125,,0.1875,,0.125,,0.0725,,0.125,,0.1875,,0.21875,,0.3125,,0.3125,,0.0725,,0.28125,,0.375,,0.125,,0.125,,0.15625,,0.09375,,0.375,,0.26,,0.25,,0.125,,0.125,,0.0725,,0.47875,,0.125,,0.125,,0.1875,,0.21875
1. Payment of Salaries,,,0.5,,0,,0.5,,0.25,,0,,0,,0,,0,,0,,0.25,,0.5,,0.25,,0,,0.25,,0.5,,0,,0,,0,,0,,0.5,,0.25,,0.25,,0,,0,,0,,0.5,,0,,0,,0.25,,0
Fixation of salary for teaching and non-teaching staff of the school. (State/SMC/Not Mentioned),"State=0, SMC=1, Not Mentioned=0.5",SMC,1,State Government,0,SMC,1,Not Mentioned ,0.5,State,0,State,0,State,0,State,0,State,0,Not Mentioned,0.5,SMC,1,Not Mentioned,0.5,State,0,Not Mentioned,0.5,SMC,1,State,0,State,0,State,0,State,0,SMC,1,Not Mentioned,0.5,Not Mentioned,0.5,State,0,State,0,State,0,SMC,1,State,0,State,0,Not Mentioned,0.5,State,0
If teachers have to be provided salaries equivalent to pay commission scales (Yes/No/Not mentioned/Maybe),"Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned ,0,Not Mentioned,0,Yes,0,not mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Self Governance,,,0.25,,0.145,,0.125,,0.3125,,0.375,,0.25,,0.145,,0.25,,0.375,,0.1875,,0.125,,0.375,,0.145,,0.3125,,0.25,,0.25,,0.25,,0.3125,,0.1875,,0.25,,0.27,,0.25,,0.25,,0.25,,0.145,,0.4575,,0.25,,0.25,,0.125,,0.4375
"Requirement to constitute an SMC (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Maybe,0.5,Maybe,0.5,Yes,0,Maybe,0.5,No,1,No,1,Maybe,0.5,No,1,No,1,Maybe,0.5,Yes,0,Maybe,0.5,Maybe,0.5,Maybe,0.5,No,1,No,1,No,1,Maybe,0.5,Maybe,0.5,No,1,Maybe,0.5,No,1,No,1,No,1,Maybe,0.5,Maybe,0.5,No,1,No,1,No ,,Maybe,0.5
"Requirement to re-constitute an SMC (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Yes,0,Yes,0,Not Mentioned,0,No,1,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5
Minimum number of members to constitute an SMC (5-15/Not Mentioned),"1-4= 1, 5-8=0.5, 9-12=0, Not Mentioned= 0",6,0.5,9,0,9,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,12,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,8,0.5,11,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,10,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,9,0,7,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,12,0
"Requirement to accommodate parents/guardians as an SMC member  (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Yes,0,Yes,0,,,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5
"Time period to re-constitute an SMC (Yearly, Bi-annually, Once in 2/3 years, Not specified)","Yearly=0.33, Bi-Annually=0, Once in 2/3 years=0.66, Not Specified/Not Mentioned=1",Not specified,1,Once in three years,0.66,Not specified,1,Not Specified,1,Not Specified,1,Not Mentioned,1,2 Year,0.66,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Once in 2 Years,0.66,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Once in 3 years,0.66,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,After 3 years,0.66,3 years,0.66,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not specified,1
"Power to remove an SMC member  (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not mentioned,0
"Mandate to disband SMC in certain cirumstances   (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5
"If the SMC is provided with an opportunity of being heard, before taking adverse action against it (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Final Score,,0.2693092602,,0.1679654304,,0.2445230048,,0.2533585512,,0.1917454074,,0.2103681041,,0.1577407662,,0.1726288156,,0.2616664863,,0.2114833361,,0.2159546981,,0.2378336178,,0.160836143,,0.24001998,,0.1863168359,,0.2275899378,,0.2051465201,,0.1919977592,,0.1626737499,,0.1882310745,,0.2093050214,,0.2193137071,,0.1782859155,,0.1178292888,,0.1598230936,,0.2926306333,,0.1904296398,,0.1638236,,0.1702590049,,0.1664217727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,National Average,0.2008503719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
